Site,Longitude,Latitude,Elevation,species,Type,Type2,D,H,Ac,Soil,potential evotranspiration (mm d-1),potential evotranspiration (mm month-1),actual evotranspoiration(mm d-1),Gst,MT,MP,MP1,Solar,MI,R
93,1.864444444,42.02555556,1075,Abies alba*,evergreen,gymnosperm,0.367556283,24.69525547,NA,221.1966,1.886118,22.633416,1.562839,13.05,13.05,47.91666667,575,178.8333333,2.117076215,NA
93,1.864444444,42.02555556,1075,Castanea sativa (C. vesca)*,deciduous,angiosperm,0.10325,NA,NA,221.1966,1.886118,22.633416,1.562839,13.05,13.05,47.91666667,575,178.8333333,2.117076215,NA
93,1.864444444,42.02555556,1075,Fagus sylvatica*,deciduous,angiosperm,0.10387234,NA,NA,221.1966,1.886118,22.633416,1.562839,13.05,13.05,47.91666667,575,178.8333333,2.117076215,NA
93,1.864444444,42.02555556,1075,Picea abies (P. excelsa)*,evergreen,gymnosperm,0.07,NA,NA,221.1966,1.886118,22.633416,1.562839,13.05,13.05,47.91666667,575,178.8333333,2.117076215,NA
93,1.864444444,42.02555556,1075,Sorbus aucuparia,deciduous,angiosperm,0.054,NA,NA,221.1966,1.886118,22.633416,1.562839,13.05,13.05,47.91666667,575,178.8333333,2.117076215,NA
94,2.867222222,42.02583333,925,Abies alba*,evergreen,gymnosperm,0.434172816,30.45174825,19.35445536,357.0074,1.860071,22.320852,1.831992,16.1,16.1,60.5,726,169.25,2.710470013,1.463882084
94,2.867222222,42.02583333,925,Fagus sylvatica*,deciduous,angiosperm,0.221642857,NA,6.404291667,357.0074,1.860071,22.320852,1.831992,16.1,16.1,60.5,726,169.25,2.710470013,NA
94,2.867222222,42.02583333,925,Sorbus aria,deciduous,angiosperm,0.165,NA,4.651125,357.0074,1.860071,22.320852,1.831992,16.1,16.1,60.5,726,169.25,2.710470013,NA
94,2.867222222,42.02583333,925,"Ulmus glabra (U. scabra, U. scaba, U. montana)",deciduous,angiosperm,0.159571429,NA,NA,357.0074,1.860071,22.320852,1.831992,16.1,16.1,60.5,726,169.25,2.710470013,NA
95,-4.893611111,43.00027778,475,Quercus ilex*,evergreen,angiosperm,0.315214522,7.687681159,NA,581.8973,1.466894,17.602728,1.466894,7.358333333,7.358333333,96.41666667,1157,158.0833333,5.477370705,NA
