Site,lon,lat,species,Type,Type2,PFTs,D,H,Ac,R,Gst,MI,ppfd,Database
557,52.04944444,52.07055556,"Ulmus minor (U. campestris, U. carpinifolia)",deciduous,angiosperm,Deciduous angiosperm,0.193296296,NA,NA,NA,14.47142857,2.350693826,23.39416512,ICP
557,52.04944444,52.07055556,Picea abies (P. excelsa)*,evergreen,gymnosperm,Evergreen gymnosperm,0.222,NA,NA,NA,14.47142857,2.350693826,23.39416512,ICP
558,0.433888889,52.12083333,Pinus sylvestris*,evergreen,gymnosperm,Evergreen gymnosperm,0.203588307,20.34385965,NA,NA,9.9,3.657170562,19.233936,ICP
559,-3.878055556,52.15611111,Picea sitchensis*,evergreen,gymnosperm,Evergreen gymnosperm,0.205742584,20.97234043,NA,NA,8.3,11.36640062,17.28204768,ICP
560,5.235555556,52.17,Quercus robur (Q. pedunculata)*,deciduous,angiosperm,Deciduous angiosperm,0.220310861,17.00337079,NA,NA,10.16666667,5.464541316,19.3051728,ICP
561,5.108888889,52.17777778,Betula pendula*,deciduous,angiosperm,Deciduous angiosperm,0.230666667,18.6,NA,NA,10.225,5.329018219,19.77533568,ICP
561,5.108888889,52.17777778,Fagus sylvatica*,deciduous,angiosperm,Deciduous angiosperm,0.0778,7.4,NA,NA,10.225,5.329018219,19.77533568,ICP
561,5.108888889,52.17777778,Other broadleaves,deciduous,angiosperm,Deciduous angiosperm,0.196611111,13.892,NA,NA,10.225,5.329018219,19.77533568,ICP
561,5.108888889,52.17777778,Prunus serotina,deciduous,angiosperm,Deciduous angiosperm,0.087,NA,NA,NA,10.225,5.329018219,19.77533568,ICP
561,5.108888889,52.17777778,Quercus robur (Q. pedunculata)*,deciduous,angiosperm,Deciduous angiosperm,0.253964286,16.46236559,NA,NA,10.225,5.329018219,19.77533568,ICP
561,5.108888889,52.17777778,Sorbus aucuparia,deciduous,angiosperm,Deciduous angiosperm,0.1095,NA,NA,NA,10.225,5.329018219,19.77533568,ICP
561,5.108888889,52.17777778,Picea abies (P. excelsa)*,evergreen,gymnosperm,Evergreen gymnosperm,0.1775,9.4,NA,NA,10.225,5.329018219,19.77533568,ICP
561,5.108888889,52.17777778,Pinus sylvestris*,evergreen,gymnosperm,Evergreen gymnosperm,0.407648649,19.04347826,NA,NA,10.225,5.329018219,19.77533568,ICP
561,5.108888889,52.17777778,Tsuga sp.,evergreen,gymnosperm,Evergreen gymnosperm,0.100125,7.8,NA,NA,10.225,5.329018219,19.77533568,ICP
562,13.47305556,52.18361111,Betula pendula*,deciduous,angiosperm,Deciduous angiosperm,0.212,18.9,NA,NA,9.533333333,3.785373237,19.90356192,ICP
562,13.47305556,52.18361111,Prunus padus,deciduous,angiosperm,Deciduous angiosperm,NA,NA,NA,NA,9.533333333,3.785373237,19.90356192,ICP
562,13.47305556,52.18361111,Prunus serotina,deciduous,angiosperm,Deciduous angiosperm,0.102079365,6.625,NA,NA,9.533333333,3.785373237,19.90356192,ICP
562,13.47305556,52.18361111,Quercus petraea*,deciduous,angiosperm,Deciduous angiosperm,0.191939024,18.98684211,NA,NA,9.533333333,3.785373237,19.90356192,ICP
562,13.47305556,52.18361111,Pinus sylvestris*,evergreen,gymnosperm,Evergreen gymnosperm,0.418377228,23.69857143,NA,NA,9.533333333,3.785373237,19.90356192,ICP
563,13.47222222,52.18388889,Prunus serotina,deciduous,angiosperm,Deciduous angiosperm,0.095333333,NA,NA,NA,9.533333333,3.785380138,19.90356192,ICP
563,13.47222222,52.18388889,Quercus petraea*,deciduous,angiosperm,Deciduous angiosperm,0.192082474,18.36,NA,NA,9.533333333,3.785380138,19.90356192,ICP
563,13.47222222,52.18388889,Quercus rubra*,deciduous,angiosperm,Deciduous angiosperm,0.1375,14.7,NA,NA,9.533333333,3.785380138,19.90356192,ICP
